t,x,y,theta
1204.941130,-3.9599,-2.0888,0.4356
1204.983054,-3.9599,-2.0888,0.4357
1205.004316,-3.9599,-2.0888,0.4357
1205.046816,-3.9599,-2.0888,0.4357
1205.089349,-3.9599,-2.0888,0.4356
1205.111038,-3.9599,-2.0888,0.4356
1205.152785,-3.9599,-2.0888,0.4360
1205.173558,-3.9599,-2.0888,0.4359
1205.215970,-3.9599,-2.0888,0.4357
1205.255900,-3.9599,-2.0888,0.4359
1205.279110,-3.9599,-2.0888,0.4359
1205.320621,-3.9599,-2.0888,0.4360
1205.341544,-3.9599,-2.0888,0.4360
1205.383538,-3.9599,-2.0888,0.4360
1205.404666,-3.9599,-2.0888,0.4361
1205.446857,-3.9599,-2.0888,0.4362
1205.488579,-3.9599,-2.0888,0.4365
1205.509367,-3.9599,-2.0888,0.4366
1205.552605,-3.9599,-2.0888,0.4364
1205.573620,-3.9599,-2.0888,0.4364
1205.615535,-3.9599,-2.0888,0.4366
1205.653636,-3.9599,-2.0888,0.4365
1205.678855,-3.9599,-2.0888,0.4364
1205.721161,-3.9599,-2.0888,0.4366
1205.742140,-3.9599,-2.0888,0.4369
1205.784486,-3.9599,-2.0888,0.4363
1205.822098,-3.9599,-2.0888,0.4368
1205.847820,-3.9599,-2.0888,0.4370
1205.885943,-3.9599,-2.0888,0.4369
1205.911181,-3.9599,-2.0888,0.4373
1205.953817,-3.9599,-2.0888,0.4364
1205.974814,-3.9599,-2.0888,0.4364
1206.018507,-3.9599,-2.0888,0.4366
1206.041019,-3.9599,-2.0888,0.4365
1206.083115,-3.9599,-2.0888,0.4364
1206.121251,-3.9599,-2.0888,0.4367
1206.146594,-3.9599,-2.0888,0.4365
1206.188680,-3.9599,-2.0888,0.4365
1206.211063,-3.9599,-2.0888,0.4362
1206.253850,-3.9599,-2.0888,0.4364
1206.288475,-3.9599,-2.0888,0.4366
1206.317905,-3.9599,-2.0888,0.4364
1206.338809,-3.9599,-2.0888,0.4366
1206.382112,-3.9599,-2.0888,0.4367
1206.421264,-3.9599,-2.0888,0.4367
1206.446122,-3.9599,-2.0888,0.4366
1206.483831,-3.9599,-2.0888,0.4365
1206.512981,-3.9599,-2.0888,0.4366
1206.546773,-3.9599,-2.0888,0.4366
1206.588803,-3.9599,-2.0888,0.4364
1206.619861,-3.9599,-2.0888,0.4367
1206.652356,-3.9599,-2.0888,0.4368
1206.683389,-3.9599,-2.0888,0.4369
1206.715593,-3.9599,-2.0888,0.4369
1206.750366,-3.9599,-2.0888,0.4368
1206.778669,-3.9599,-2.0888,0.4369
1206.820468,-3.9599,-2.0888,0.4367
1206.841402,-3.9599,-2.0888,0.4369
1206.882818,-3.9599,-2.0888,0.4370
1206.921898,-3.9599,-2.0888,0.4368
1206.945576,-3.9599,-2.0888,0.4369
1206.988067,-3.9599,-2.0888,0.4370
1207.009194,-3.9599,-2.0888,0.4369
1207.051305,-3.9599,-2.0888,0.4369
1207.072326,-3.9599,-2.0888,0.4370
1207.115913,-3.9599,-2.0888,0.4371
1207.156296,-3.9599,-2.0888,0.4370
1207.179101,-3.9599,-2.0888,0.4368
1207.221831,-3.9599,-2.0888,0.4373
1207.242820,-3.9599,-2.0888,0.4373
